,day,confirmed,recovered,deaths,date,country
0,0,537,8,21,2020-03-06,America
1,1,605,8,22,2020-03-09,America
2,2,959,8,28,2020-03-10,America
3,3,1281,8,36,2020-03-11,America
4,4,1663,12,40,2020-03-15,America
5,5,2179,12,47,2020-03-16,America
6,6,2726,12,54,2020-03-14,America
7,7,3499,12,63,2020-03-12,America
8,8,4632,17,85,2020-03-13,America
9,9,6421,17,108,2020-03-17,America
10,10,7786,106,118,2020-03-19,America
11,11,13680,108,200,2020-03-18,America
12,12,19101,147,244,2020-03-20,America
13,13,25514,171,307,2020-03-21,America
14,14,33848,0,427,2020-03-22,America
15,15,43663,0,552,2020-03-23,America
16,16,53736,348,706,2020-03-24,America
17,17,65778,361,942,2020-03-25,America
18,18,83836,681,1209,2020-03-26,America
19,19,101657,869,1581,2020-03-27,America
20,20,121465,1072,2026,2020-03-28,America
21,21,140909,2665,2467,2020-03-29,America
22,22,161831,5644,2978,2020-03-30,America
23,23,188172,7024,3873,2020-03-31,America
24,24,213372,8474,4757,2020-04-01,America
25,25,243599,9001,5926,2020-04-02,America
26,26,275586,9707,7087,2020-04-03,America
27,27,308853,14652,8407,2020-04-04,America
28,28,337072,17448,9619,2020-04-05,America
29,29,366667,19581,10783,2020-04-06,America
30,30,396223,21763,12722,2020-04-07,America
31,31,429052,23559,14695,2020-04-08,America
32,32,461437,25410,16478,2020-04-09,America
33,33,496535,28790,18586,2020-04-10,America
34,34,526396,31270,20462,2020-04-11,America
35,35,555313,32988,22019,2020-04-12,America
36,36,580619,43482,23528,2020-04-13,America
37,37,607670,47763,25831,2020-04-14,America
38,38,636350,52096,28325,2020-04-15,America
39,39,667801,54703,32916,2020-04-16,America
40,40,699706,58545,36773,2020-04-17,America
41,41,732197,64840,38664,2020-04-18,America
42,42,759086,70337,40661,2020-04-19,America
43,43,784326,72329,42094,2020-04-20,America
44,44,811865,75204,44444,2020-04-21,America
45,45,840220,77366,46622,2020-04-23,America
46,46,869170,80203,49954,2020-04-22,America
47,47,905333,99079,51949,2020-04-24,America
48,48,938154,100372,53755,2020-04-25,America
49,49,965783,106988,54881,2020-04-26,America
50,50,988197,111424,56259,2020-04-27,America
51,51,1012582,115936,58355,2020-04-28,America
52,52,1039909,120720,60967,2020-04-29,America
53,53,1069424,153947,62996,2020-04-30,America
54,54,1103461,164015,64943,2020-05-01,America
55,55,1132539,175382,66369,2020-05-02,America
56,56,1158040,180152,67682,2020-05-03,America
57,57,1180375,187180,68922,2020-05-04,America
